frequency,method,entropy,autocorr,time_ms
low,Perlin,-1385.471101,0.337399,32.249
low,Value,-52.980438,0.660547,13.649
low,Simplex,-55.480774,0.996874,691.773
low,fBm-Perlin,-437.127955,0.425347,68.292
low,fBm-Value,-146.782777,0.712434,32.758
low,fBm-Simplex,-143.671749,0.995774,1340.519
mid,Perlin,-462.936011,0.768674,35.207
mid,Value,-43.183084,0.890084,14.905
mid,Simplex,-51.983622,0.993581,758.529
mid,fBm-Perlin,-363.498434,0.817126,154.56
mid,fBm-Value,-206.489656,0.911973,67.983
mid,fBm-Simplex,-204.284545,0.987664,2820.651
high,Perlin,-226.714255,0.935984,38.236
high,Value,-36.702532,0.968333,15.541
high,Simplex,-45.190341,0.986104,657.061
high,fBm-Perlin,-353.905545,0.948967,242.52
high,fBm-Value,-221.705214,0.972415,104.224
high,fBm-Simplex,-213.893167,0.960278,3914.262
